Date,Time,EAR,MAR,Head Position,Phone,Driver Status
15-07-2026,21:24:31,0.292,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.296,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.289,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.271,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.263,0.056,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.270,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.277,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.246,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.246,0.026,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.258,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.250,0.053,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.261,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.256,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.271,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.270,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:31,0.287,0.026,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.284,0.026,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.291,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.379,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.373,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.373,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.379,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.388,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.381,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.378,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.327,0.000,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.323,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.297,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.312,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.312,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.301,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:32,0.296,0.024,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.290,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.253,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.224,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.198,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.167,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.163,0.075,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.167,0.056,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.156,0.103,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.151,0.103,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.147,0.103,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.151,0.103,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.142,0.103,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.142,0.057,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.136,0.077,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.135,0.075,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:33,0.148,0.075,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:34,0.138,0.075,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:34,0.136,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:34,0.132,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:34,0.136,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:34,0.152,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:34,0.140,0.026,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:34,0.132,0.051,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:34,0.154,0.026,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:34,0.177,0.077,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:34,0.173,0.103,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:34,0.157,0.081,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:34,0.168,0.077,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:34,0.147,0.081,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:34,0.138,0.050,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:34,0.165,0.050,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:34,0.138,0.050,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:35,0.161,0.050,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:35,0.161,0.026,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:35,0.205,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.229,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.247,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.248,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.253,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.261,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.244,0.049,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.263,0.056,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.261,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.265,0.050,LOOKING FORWARD,NO PHONE,ALERT
